Section Code,UDL Capacity,Length,Cost
FB15008,3.57,3,8.13
FB15008,2.62,3.5,9.485
FB15008,2.01,4,10.84
FB15008,1.59,4.5,12.195
FB15008,1.29,5,13.55
FB20008,2.52,4,13.2
FB20008,1.99,4.5,14.85
FB20008,1.61,5,16.5
FB20008,1.33,5.5,18.15
FB20008,1.12,6,19.8
FB20008,0.96,6.5,21.45
FB20008,0.82,7,23.1
FB25010,2.84,5,24.6
FB25010,2.35,5.5,27.06
FB25010,1.97,6,29.52
FB25010,1.68,6.5,31.98
FB25010,1.45,7,34.44
FB25010,1.26,7.5,36.9
FB25010,1.11,8,39.36
FB25010,0.98,8.5,41.82
FB25010,0.88,9,44.28
FB30010,3.76,6,35.1
FB30010,3.2,6.5,38.025
FB30010,2.76,7,40.95
FB30010,2.4,7.5,43.875
FB30010,2.11,8,46.8
FB30010,1.87,8.5,49.725
FB30010,1.67,9,52.65
FB30010,1.5,9.5,55.575
FB30010,1.35,10,58.5
FB30010,1.23,10.5,61.425
FB30010,1.12,11,64.35
FB30020,8.57,6,71.46
FB30020,7.3,6.5,77.415
FB30020,6.3,7,83.37
FB30020,5.49,7.5,89.325
FB30020,4.82,8,95.28
FB30020,4.27,8.5,101.235
FB30020,3.81,9,107.19
FB30020,3.42,9.5,113.145
FB30020,3.09,10,119.1
FB30020,2.8,10.5,125.055
FB30020,2.55,11,131.01
FB30020,2.33,11.5,136.965
FB30020,2.14,12,142.92
FB35012,4.43,7,57.82
FB35012,3.86,7.5,61.95
FB35012,3.4,8,66.08
FB35012,3.01,8.5,70.21
FB35012,2.68,9,74.34
FB35012,2.41,9.5,78.47
FB35012,2.17,10,82.6
FB35012,1.97,10.5,86.73
FB35012,1.8,11,90.86
FB35012,1.64,11.5,94.99
FB35012,1.51,12,99.12
FB35012,1.39,12.5,103.25
FB35012,1.29,13,107.38
FB40015,5.66,8,94.24
FB40015,5.01,8.5,100.13
FB40015,4.47,9,106.02
FB40015,4.01,9.5,111.91
FB40015,3.62,10,117.8
FB40015,3.29,10.5,123.69
FB40015,2.99,11,129.58
FB40015,2.74,11.5,135.47
FB40015,2.52,12,141.36
FB40015,2.32,12.5,147.25
FB40015,2.14,13,153.14
FB40015,1.99,13.5,159.03
FB40015,1.85,14,164.92
FB40015,1.72,14.5,170.81
FB40015,1.61,15,176.7
FB45020,5.88,10,179.1
FB45020,5.33,10.5,188.055
FB45020,4.86,11,197.01
FB45020,4.44,11.5,205.965
FB45020,4.08,12,214.92
FB45020,3.76,12.5,223.875
FB45020,3.48,13,232.83
FB45020,3.22,13.5,241.785
FB45020,3,14,250.74
FB45020,2.79,14.5,259.695
FB45020,2.61,15,268.65
FB45020,2.45,15.5,277.605
FB45020,2.29,16,286.56
FB54020,4.89,12,248.04
FB54020,4.51,12.5,258.375
FB54020,4.17,13,268.71
FB54020,3.86,13.5,279.045
FB54020,3.59,14,289.38
FB54020,3.35,14.5,299.715
FB54020,3.13,15,310.05
FB54020,2.93,15.5,320.385
FB54020,2.75,16,330.72
FB54020,2.59,16.5,341.055
FB54020,2.44,17,351.39
FB54020,2.3,17.5,361.725
FB54020,2.17,18,372.06
FB54020,2.06,18.5,382.395
FB54020,1.95,19,392.73
FB54020,1.85,19.5,403.065
FB54020,1.76,20,413.4
